2011-12-22 04:12:28,375 [main] INFO  org.springframework.test.context.TestContextManager - @TestExecutionListeners is not present for class [class com.max.bookstore.model.StatusIntegrationTest]: using defaults.
2011-12-22 04:12:28,390 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (1): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@826bd1]; rollback [true]
2011-12-22 04:12:28,390 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@16fd57a testClass = StatusIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.StatusIntegrationTest@1286868, testMethod = testRemove@StatusIntegrationTest, testException = java.lang.VerifyError: (class: com/max/bookstore/model/Status_Roo_JavaBean, method: <clinit> signature: ()V) Stack size too large]]
2011-12-22 04:12:28,406 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (2): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@826bd1]; rollback [true]
2011-12-22 04:12:28,406 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@16fd57a testClass = StatusIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.StatusIntegrationTest@85a5a5, testMethod = testPersist@StatusIntegrationTest, testException = java.lang.VerifyError: (class: com/max/bookstore/model/Status_Roo_JavaBean, method: <clinit> signature: ()V) Stack size too large]]
2011-12-22 04:12:28,406 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (3): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@826bd1]; rollback [true]
2011-12-22 04:12:28,406 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@16fd57a testClass = StatusIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.StatusIntegrationTest@194ae28, testMethod = testMerge@StatusIntegrationTest, testException = java.lang.VerifyError: (class: com/max/bookstore/model/Status_Roo_JavaBean, method: <clinit> signature: ()V) Stack size too large]]
2011-12-22 04:12:28,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (4): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@826bd1]; rollback [true]
2011-12-22 04:12:28,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@16fd57a testClass = StatusIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.StatusIntegrationTest@1d2845a, testMethod = testFlush@StatusIntegrationTest, testException = java.lang.VerifyError: (class: com/max/bookstore/model/Status_Roo_JavaBean, method: <clinit> signature: ()V) Stack size too large]]
2011-12-22 04:12:28,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (5): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@826bd1]; rollback [true]
2011-12-22 04:12:28,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@16fd57a testClass = StatusIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.StatusIntegrationTest@148d199, testMethod = testMarkerMethod@StatusIntegrationTest, testException = [null]]]
2011-12-22 04:12:28,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (6): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@826bd1]; rollback [true]
2011-12-22 04:12:28,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@16fd57a testClass = StatusIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.StatusIntegrationTest@931a92, testMethod = testCountStatuses@StatusIntegrationTest, testException = java.lang.VerifyError: (class: com/max/bookstore/model/Status_Roo_JavaBean, method: <clinit> signature: ()V) Stack size too large]]
2011-12-22 04:12:28,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (7): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@826bd1]; rollback [true]
2011-12-22 04:12:28,437 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@16fd57a testClass = StatusIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.StatusIntegrationTest@1284be4, testMethod = testFindStatus@StatusIntegrationTest, testException = java.lang.VerifyError: (class: com/max/bookstore/model/Status_Roo_JavaBean, method: <clinit> signature: ()V) Stack size too large]]
2011-12-22 04:12:28,437 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (8): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@826bd1]; rollback [true]
2011-12-22 04:12:28,437 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@16fd57a testClass = StatusIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.StatusIntegrationTest@545868, testMethod = testFindAllStatuses@StatusIntegrationTest, testException = java.lang.VerifyError: (class: com/max/bookstore/model/Status_Roo_JavaBean, method: <clinit> signature: ()V) Stack size too large]]
2011-12-22 04:12:28,437 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (9): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@826bd1]; rollback [true]
